id,source,source_label,notice_type,notice_type_label,code,title,employer,province,city,publish_date,deadline,description,detail_url,all_links,source_page,source_page_url,raw_text,scraped_at_utc
hezareh-tender-1-12,hezareh,هزاره,tender,مناقصه,,مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع...,,,,,,مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع...,https://www.hezarehinfo.net/tenders/370,['https://www.hezarehinfo.net/tenders/370'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع...,2026-07-09T08:30:36+00:00
hezareh-tender-1-13,hezareh,هزاره,tender,مناقصه,,مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن...,,,,,,مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن...,https://www.hezarehinfo.net/tenders/351,['https://www.hezarehinfo.net/tenders/351'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن...,2026-07-09T08:30:36+00:00
hezareh-tender-1-14,hezareh,هزاره,tender,مناقصه,,مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش...,,,,,,مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش...,https://www.hezarehinfo.net/tenders/311,['https://www.hezarehinfo.net/tenders/311'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش...,2026-07-09T08:30:36+00:00
hezareh-tender-1-15,hezareh,هزاره,tender,مناقصه,,مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د...,,,,,,مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د...,https://www.hezarehinfo.net/tenders/324,['https://www.hezarehinfo.net/tenders/324'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د...,2026-07-09T08:30:36+00:00
hezareh-tender-1-16,hezareh,هزاره,tender,مناقصه,,مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،...,,,,,,مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،...,https://www.hezarehinfo.net/tenders/366,['https://www.hezarehinfo.net/tenders/366'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،...,2026-07-09T08:30:36+00:00
hezareh-tender-1-17,hezareh,هزاره,tender,مناقصه,,مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،...,,,,,,مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،...,https://www.hezarehinfo.net/tenders/369,['https://www.hezarehinfo.net/tenders/369'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،...,2026-07-09T08:30:36+00:00
hezareh-tender-1-18,hezareh,هزاره,tender,مناقصه,,مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا...,,,,,,مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا...,https://www.hezarehinfo.net/tenders/296,['https://www.hezarehinfo.net/tenders/296'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا...,2026-07-09T08:30:36+00:00
hezareh-tender-1-19,hezareh,هزاره,tender,مناقصه,,مناقصه صنایع ریخته گری، مفتولی، ورقکاری، ماشین کاری، تراش...,,,,,,مناقصه صنایع ریخته گری، مفتولی، ورقکاری، ماشین کاری، تراش... مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،... مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی... مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ... مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،... مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم... مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و... مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو... مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م.,https://www.hezarehinfo.net/tenders/353,['https://www.hezarehinfo.net/tenders/353'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه صنایع ریخته گری، مفتولی، ورقکاری، ماشین کاری، تراش... مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،... مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی... مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ... مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،... مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم... مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و... مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو... مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م...,2026-07-09T08:30:36+00:00
hezareh-tender-1-20,hezareh,هزاره,tender,مناقصه,,مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،...,,,,,,مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،...,https://www.hezarehinfo.net/tenders/325,['https://www.hezarehinfo.net/tenders/325'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،...,2026-07-09T08:30:36+00:00
hezareh-tender-1-21,hezareh,هزاره,tender,مناقصه,,مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی,,,,,,مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی,https://www.hezarehinfo.net/tenders/337,['https://www.hezarehinfo.net/tenders/337'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی,2026-07-09T08:30:36+00:00
hezareh-tender-1-22,hezareh,هزاره,tender,مناقصه,,مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب,,,,,,مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب,https://www.hezarehinfo.net/tenders/345,['https://www.hezarehinfo.net/tenders/345'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب,2026-07-09T08:30:36+00:00
hezareh-tender-1-23,hezareh,هزاره,tender,مناقصه,,مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه,,,,,,مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه,https://www.hezarehinfo.net/tenders/367,['https://www.hezarehinfo.net/tenders/367'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه,2026-07-09T08:30:36+00:00
hezareh-tender-1-24,hezareh,هزاره,tender,مناقصه,,مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی...,,,,,,مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی...,https://www.hezarehinfo.net/tenders/362,['https://www.hezarehinfo.net/tenders/362'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی...,2026-07-09T08:30:36+00:00
hezareh-tender-1-25,hezareh,هزاره,tender,مناقصه,,مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ...,,,,,,مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ...,https://www.hezarehinfo.net/tenders/355,['https://www.hezarehinfo.net/tenders/355'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ...,2026-07-09T08:30:36+00:00
hezareh-tender-1-26,hezareh,هزاره,tender,مناقصه,,مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،...,,,,,,مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،...,https://www.hezarehinfo.net/tenders/339,['https://www.hezarehinfo.net/tenders/339'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،...,2026-07-09T08:30:36+00:00
hezareh-tender-1-27,hezareh,هزاره,tender,مناقصه,,مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم...,,,,,,مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم...,https://www.hezarehinfo.net/tenders/321,['https://www.hezarehinfo.net/tenders/321'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم...,2026-07-09T08:30:36+00:00
hezareh-tender-1-28,hezareh,هزاره,tender,مناقصه,,مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و...,,,,,,مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و...,https://www.hezarehinfo.net/tenders/332,['https://www.hezarehinfo.net/tenders/332'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و...,2026-07-09T08:30:36+00:00
hezareh-tender-1-29,hezareh,هزاره,tender,مناقصه,,مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو...,,,,,,مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو...,https://www.hezarehinfo.net/tenders/284,['https://www.hezarehinfo.net/tenders/284'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو...,2026-07-09T08:30:36+00:00
hezareh-tender-1-30,hezareh,هزاره,tender,مناقصه,,مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م...,,,,,,مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م...,https://www.hezarehinfo.net/tenders/294,['https://www.hezarehinfo.net/tenders/294'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-16/pto-1405-04-17/page-01,مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م...,2026-07-09T08:30:36+00:00
